
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( g | u ...) = 0.020020 [ -1.698531 ]
p( h | g ...) = 0.776889 [ -0.109641 ]
sum logprob = -15.7717, per-symbol logprob = -0.8301, ppl = 6.7622

sentence = 'i <sp> w o u l d <sp> l i k e <sp> t o <sp> h a v e <sp> a n <sp> i c e d <sp> t e a'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( w | <sp> ...) = 0.135511 [ -0.868025 ]
p( o | w ...) = 0.156738 [ -0.804825 ]
p( u | o ...) = 0.281415 [ -0.550653 ]
p( l | u ...) = 0.994202 [ -0.002525 ]
p( d | l ...) = 0.999613 [ -0.000168 ]
p( <sp> | d ...) = 0.859658 [ -0.065674 ]
p( l | <sp> ...) = 0.047489 [ -1.323403 ]
p( i | l ...) = 0.571761 [ -0.242786 ]
p( k | i ...) = 0.896633 [ -0.047385 ]
p( e | k ...) = 0.999587 [ -0.000180 ]
p( <sp> | e ...) = 0.966216 [ -0.014926 ]
p( t | <sp> ...) = 0.425706 [ -0.370890 ]
p( o | t ...) = 0.243852 [ -0.612874 ]
p( <sp> | o ...) = 0.818041 [ -0.087225 ]
p( h | <sp> ...) = 0.037164 [ -1.429883 ]
p( a | h ...) = 0.447160 [ -0.349537 ]
p( v | a ...) = 0.627164 [ -0.202619 ]
p( e | v ...) = 0.986314 [ -0.005985 ]
p( <sp> | e ...) = 0.963617 [ -0.016096 ]
p( a | <sp> ...) = 0.282522 [ -0.548948 ]
p( n | a ...) = 0.141974 [ -0.847793 ]
p( <sp> | n ...) = 0.110231 [ -0.957695 ]
p( i | <sp> ...) = 0.065065 [ -1.186651 ]
p( c | i ...) = 0.001877 [ -2.726629 ]
p( e | c ...) = 0.229008 [ -0.640150 ]
p( d | e ...) = 0.024720 [ -1.606952 ]
p( <sp> | d ...) = 0.663126 [ -0.178404 ]
p( t | <sp> ...) = 0.286238 [ -0.543272 ]
p( e | t ...) = 0.009422 [ -2.025837 ]
p( a | e ...) = 0.137698 [ -0.861072 ]
sum logprob = -20.0440, per-symbol logprob = -0.6264, ppl = 4.2304

sentence = 'i <sp> w a n t <sp> t o <sp> e a t <sp> n o w'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( w | <sp> ...) = 0.135511 [ -0.868025 ]
p( a | w ...) = 0.201381 [ -0.695980 ]
p( n | a ...) = 0.214984 [ -0.667594 ]
p( t | n ...) = 0.096328 [ -1.016246 ]
p( <sp> | t ...) = 0.362553 [ -0.440629 ]
p( t | <sp> ...) = 0.166716 [ -0.778023 ]
p( o | t ...) = 0.281254 [ -0.550901 ]
p( <sp> | o ...) = 0.834528 [ -0.078559 ]
p( e | <sp> ...) = 0.017223 [ -1.763885 ]
p( a | e ...) = 0.111135 [ -0.954151 ]
p( t | a ...) = 0.194761 [ -0.710498 ]
p( <sp> | t ...) = 0.403220 [ -0.394457 ]
p( n | <sp> ...) = 0.020766 [ -1.682653 ]
p( o | n ...) = 0.544407 [ -0.264076 ]
p( w | o ...) = 0.221118 [ -0.655376 ]
sum logprob = -12.4460, per-symbol logprob = -0.7321, ppl = 5.3966

sentence = 'i <sp> t h i n k <sp> i <sp> d i d <sp> i t <sp> w r o n g'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( t | <sp> ...) = 0.089109 [ -1.050078 ]
p( h | t ...) = 0.766242 [ -0.115634 ]
p( i | h ...) = 0.768864 [ -0.114151 ]
p( n | i ...) = 0.997822 [ -0.000947 ]
p( k | n ...) = 0.998330 [ -0.000726 ]
p( <sp> | k ...) = 0.272575 [ -0.564514 ]
p( i | <sp> ...) = 0.088228 [ -1.054394 ]
p( <sp> | i ...) = 0.213983 [ -0.669620 ]
p( d | <sp> ...) = 0.122583 [ -0.911569 ]
p( i | d ...) = 0.109528 [ -0.960473 ]
p( d | i ...) = 0.266865 [ -0.573709 ]
p( <sp> | d ...) = 0.318268 [ -0.497207 ]
p( i | <sp> ...) = 0.102192 [ -0.990584 ]
p( t | i ...) = 0.277989 [ -0.555972 ]
p( <sp> | t ...) = 0.585350 [ -0.232584 ]
p( w | <sp> ...) = 0.170233 [ -0.768956 ]
p( r | w ...) = 0.016321 [ -1.787248 ]
p( o | r ...) = 0.045235 [ -1.344527 ]
p( n | o ...) = 0.080630 [ -1.093503 ]
p( g | n ...) = 0.057171 [ -1.242824 ]
sum logprob = -15.4542, per-symbol logprob = -0.7025, ppl = 5.0404

sentence = 'a l l <sp> t h e <sp> t i m e'
p( a | <s> ...) = 0.069849 [ -1.155838 ]
p( l | a ...) = 0.130269 [ -0.885159 ]
p( l | l ...) = 0.425302 [ -0.371302 ]
p( <sp> | l ...) = 0.416329 [ -0.380564 ]
p( t | <sp> ...) = 0.154419 [ -0.811299 ]
p( h | t ...) = 0.684852 [ -0.164404 ]
p( e | h ...) = 0.669047 [ -0.174543 ]
p( <sp> | e ...) = 0.709970 [ -0.148760 ]
p( t | <sp> ...) = 0.059109 [ -1.228349 ]
p( i | t ...) = 0.063248 [ -1.198954 ]
p( m | i ...) = 0.766242 [ -0.115634 ]
p( e | m ...) = 0.975892 [ -0.010598 ]
sum logprob = -6.6454, per-symbol logprob = -0.5538, ppl = 3.5792

sentence = 'd o <sp> y o u <sp> k n o w <sp> w h e r e <sp> w e <sp> a r e <sp> g o i n g'
p( d | <s> ...) = 0.033333 [ -1.477122 ]
p( o | d ...) = 0.617095 [ -0.209648 ]
p( <sp> | o ...) = 0.323596 [ -0.489997 ]
p( y | <sp> ...) = 0.067834 [ -1.168554 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( k | <sp> ...) = 0.048362 [ -1.315498 ]
p( n | k ...) = 0.921469 [ -0.035519 ]
p( o | n ...) = 0.951986 [ -0.021369 ]
p( w | o ...) = 0.988591 [ -0.004983 ]
p( <sp> | w ...) = 0.695963 [ -0.157414 ]
p( w | <sp> ...) = 0.116032 [ -0.935421 ]
p( h | w ...) = 0.656608 [ -0.182694 ]
p( e | h ...) = 0.202403 [ -0.693784 ]
p( r | e ...) = 0.588063 [ -0.230576 ]
p( e | r ...) = 0.999347 [ -0.000283 ]
p( <sp> | e ...) = 0.973411 [ -0.011704 ]
p( w | <sp> ...) = 0.045141 [ -1.345433 ]
p( e | w ...) = 0.174549 [ -0.758083 ]
p( <sp> | e ...) = 0.271977 [ -0.565467 ]
p( a | <sp> ...) = 0.101672 [ -0.992798 ]
p( r | a ...) = 0.132215 [ -0.878720 ]
p( e | r ...) = 0.826212 [ -0.082909 ]
p( <sp> | e ...) = 0.919763 [ -0.036324 ]
p( g | <sp> ...) = 0.025093 [ -1.600442 ]
p( o | g ...) = 0.440766 [ -0.355792 ]
p( i | o ...) = 0.141636 [ -0.848825 ]
p( n | i ...) = 0.999212 [ -0.000343 ]
p( g | n ...) = 0.663126 [ -0.178404 ]
sum logprob = -14.8236, per-symbol logprob = -0.4941, ppl = 3.1197

sentence = 'i <sp> r e a l l y <sp> t r y'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( r | <sp> ...) = 0.024941 [ -1.603091 ]
p( e | r ...) = 0.632931 [ -0.198644 ]
p( a | e ...) = 0.106283 [ -0.973538 ]
p( l | a ...) = 0.106283 [ -0.973538 ]
p( l | l ...) = 0.427329 [ -0.369237 ]
p( y | l ...) = 0.376771 [ -0.423922 ]
p( <sp> | y ...) = 0.800571 [ -0.096600 ]
p( t | <sp> ...) = 0.108817 [ -0.963302 ]
p( r | t ...) = 0.052841 [ -1.277031 ]
p( y | r ...) = 0.249754 [ -0.602488 ]
sum logprob = -8.4064, per-symbol logprob = -0.7005, ppl = 5.0180

sentence = 'd o <sp> i <sp> t e l l <sp> y o u <sp> o f t e n <sp> e n o u g h <sp> h o w <sp> m u c h <sp> i <sp> l o v e <sp> y o u'
p( d | <s> ...) = 0.033333 [ -1.477122 ]
p( o | d ...) = 0.617095 [ -0.209648 ]
p( <sp> | o ...) = 0.323596 [ -0.489997 ]
p( i | <sp> ...) = 0.132215 [ -0.878720 ]
p( <sp> | i ...) = 0.389678 [ -0.409294 ]
p( t | <sp> ...) = 0.086621 [ -1.062376 ]
p( e | t ...) = 0.017077 [ -1.767578 ]
p( l | e ...) = 0.083349 [ -1.079098 ]
p( l | l ...) = 0.493456 [ -0.306752 ]
p( <sp> | l ...) = 0.406631 [ -0.390799 ]
p( y | <sp> ...) = 0.033277 [ -1.477857 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( o | <sp> ...) = 0.014284 [ -1.845164 ]
p( f | o ...) = 0.334572 [ -0.475511 ]
p( t | f ...) = 0.022630 [ -1.645314 ]
p( e | t ...) = 0.509219 [ -0.293095 ]
p( n | e ...) = 0.983090 [ -0.007407 ]
p( <sp> | n ...) = 0.678027 [ -0.168753 ]
p( e | <sp> ...) = 0.033805 [ -1.471021 ]
p( n | e ...) = 0.154934 [ -0.809854 ]
p( o | n ...) = 0.025874 [ -1.587139 ]
p( u | o ...) = 0.026966 [ -1.569190 ]
p( g | u ...) = 0.814255 [ -0.089239 ]
p( h | g ...) = 0.999087 [ -0.000397 ]
p( <sp> | h ...) = 0.140385 [ -0.852680 ]
p( h | <sp> ...) = 0.035674 [ -1.447644 ]
p( o | h ...) = 0.171356 [ -0.766100 ]
p( w | o ...) = 0.421417 [ -0.375288 ]
p( <sp> | w ...) = 0.876643 [ -0.057177 ]
p( m | <sp> ...) = 0.119059 [ -0.924236 ]
p( u | m ...) = 0.063121 [ -1.199824 ]
p( c | u ...) = 0.526568 [ -0.278545 ]
p( h | c ...) = 0.997327 [ -0.001163 ]
p( <sp> | h ...) = 0.767519 [ -0.114911 ]
p( i | <sp> ...) = 0.068648 [ -1.163375 ]
p( <sp> | i ...) = 0.152148 [ -0.817735 ]
p( l | <sp> ...) = 0.034772 [ -1.458768 ]
p( o | l ...) = 0.278542 [ -0.555110 ]
p( v | o ...) = 0.165223 [ -0.781930 ]
p( e | v ...) = 0.986076 [ -0.006090 ]
p( <sp> | e ...) = 0.703135 [ -0.152961 ]
p( y | <sp> ...) = 0.025934 [ -1.586128 ]
p( o | y ...) = 0.940563 [ -0.026612 ]
p( u | o ...) = 0.998175 [ -0.000793 ]
sum logprob = -32.3239, per-symbol logprob = -0.7027, ppl = 5.0430

sentence = 'c o m e <sp> t o <sp> t h i n k <sp> a b o u t <sp> i t'
p( c | <s> ...) = 0.024707 [ -1.607183 ]
p( o | c ...) = 0.191562 [ -0.717690 ]
p( m | o ...) = 0.307192 [ -0.512589 ]
p( e | m ...) = 0.353879 [ -0.451145 ]
p( <sp> | e ...) = 0.431519 [ -0.365000 ]
p( t | <sp> ...) = 0.175325 [ -0.756156 ]
p( o | t ...) = 0.517457 [ -0.286126 ]
p( <sp> | o ...) = 0.840919 [ -0.075246 ]
p( t | <sp> ...) = 0.109911 [ -0.958958 ]
p( h | t ...) = 0.537652 [ -0.269499 ]
p( i | h ...) = 0.184281 [ -0.734519 ]
p( n | i ...) = 0.375515 [ -0.425373 ]
p( k | n ...) = 0.334512 [ -0.475589 ]
p( <sp> | k ...) = 0.272575 [ -0.564514 ]
p( a | <sp> ...) = 0.093436 [ -1.029487 ]
p( b | a ...) = 0.054832 [ -1.260963 ]
p( o | b ...) = 0.824427 [ -0.083848 ]
p( u | o ...) = 0.945105 [ -0.024520 ]
p( t | u ...) = 0.999097 [ -0.000392 ]
p( <sp> | t ...) = 0.916022 [ -0.038094 ]
p( i | <sp> ...) = 0.102213 [ -0.990495 ]
p( t | i ...) = 0.354802 [ -0.450014 ]
sum logprob = -12.0774, per-symbol logprob = -0.5490, ppl = 3.5398

sentence = 'g u e s s <sp> w h a t'
p( g | <s> ...) = 0.014273 [ -1.845477 ]
p( u | g ...) = 0.009489 [ -2.022764 ]
p( e | u ...) = 0.267218 [ -0.573135 ]
p( s | e ...) = 0.789632 [ -0.102575 ]
p( s | s ...) = 0.853140 [ -0.068980 ]
p( <sp> | s ...) = 0.398103 [ -0.400005 ]
p( w | <sp> ...) = 0.063780 [ -1.195316 ]
p( h | w ...) = 0.277989 [ -0.555972 ]
p( a | h ...) = 0.409392 [ -0.387860 ]
p( t | a ...) = 0.997822 [ -0.000947 ]
sum logprob = -7.1530, per-symbol logprob = -0.7153, ppl = 5.1916

sentence = 'y o u <sp> a r e <sp> w r o n g'
p( y | <s> ...) = 0.058374 [ -1.233781 ]
p( o | y ...) = 0.743863 [ -0.128507 ]
p( u | o ...) = 0.944142 [ -0.024963 ]
p( <sp> | u ...) = 0.641954 [ -0.192496 ]
p( a | <sp> ...) = 0.092510 [ -1.033812 ]
p( r | a ...) = 0.467418 [ -0.330295 ]
p( e | r ...) = 0.971222 [ -0.012681 ]
p( <sp> | e ...) = 0.879595 [ -0.055717 ]
p( w | <sp> ...) = 0.061686 [ -1.209813 ]
p( r | w ...) = 0.031809 [ -1.497455 ]
p( o | r ...) = 0.052824 [ -1.277167 ]
p( n | o ...) = 0.080630 [ -1.093503 ]
p( g | n ...) = 0.057171 [ -1.242824 ]
sum logprob = -9.3330, per-symbol logprob = -0.7179, ppl = 5.2231

sentence = 'i <sp> c a n <sp> h e a r <sp> a n d <sp> u n d e r s t a n d <sp> e v e r y t h i n g <sp> y o u <sp> s a y'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( c | <sp> ...) = 0.088581 [ -1.052658 ]
p( a | c ...) = 0.304950 [ -0.515772 ]
p( n | a ...) = 0.561069 [ -0.250984 ]
p( <sp> | n ...) = 0.675601 [ -0.170309 ]
p( h | <sp> ...) = 0.045573 [ -1.341288 ]
p( e | h ...) = 0.348103 [ -0.458292 ]
p( a | e ...) = 0.171205 [ -0.766483 ]
p( r | a ...) = 0.176751 [ -0.752637 ]
p( <sp> | r ...) = 0.257840 [ -0.588650 ]
p( a | <sp> ...) = 0.097410 [ -1.011395 ]
p( n | a ...) = 0.257840 [ -0.588650 ]
p( d | n ...) = 0.559336 [ -0.252327 ]
p( <sp> | d ...) = 0.986076 [ -0.006090 ]
p( u | <sp> ...) = 0.011733 [ -1.930584 ]
p( n | u ...) = 0.017482 [ -1.757408 ]
p( d | n ...) = 0.366595 [ -0.435813 ]
p( e | d ...) = 0.186928 [ -0.728327 ]
p( r | e ...) = 0.727110 [ -0.138400 ]
p( s | r ...) = 0.479639 [ -0.319085 ]
p( t | s ...) = 0.926822 [ -0.033004 ]
p( a | t ...) = 0.903525 [ -0.044060 ]
p( n | a ...) = 0.983090 [ -0.007407 ]
p( d | n ...) = 0.999097 [ -0.000392 ]
p( <sp> | d ...) = 0.482796 [ -0.316237 ]
p( e | <sp> ...) = 0.021649 [ -1.664570 ]
p( v | e ...) = 0.223054 [ -0.651589 ]
p( e | v ...) = 0.931670 [ -0.030738 ]
p( r | e ...) = 0.609415 [ -0.215087 ]
p( y | r ...) = 0.787885 [ -0.103537 ]
p( t | y ...) = 0.317936 [ -0.497661 ]
p( h | t ...) = 0.988591 [ -0.004983 ]
p( i | h ...) = 0.999585 [ -0.000180 ]
p( n | i ...) = 0.999585 [ -0.000180 ]
p( g | n ...) = 0.323105 [ -0.490656 ]
p( <sp> | g ...) = 0.742914 [ -0.129061 ]
p( y | <sp> ...) = 0.032074 [ -1.493847 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( s | <sp> ...) = 0.083157 [ -1.080099 ]
p( a | s ...) = 0.093990 [ -1.026917 ]
p( y | a ...) = 0.317166 [ -0.498713 ]
sum logprob = -22.5245, per-symbol logprob = -0.5119, ppl = 3.2503

sentence = 'm a y <sp> i <sp> t a k e <sp> a <sp> m e s s a g e'
p( m | <s> ...) = 0.027086 [ -1.567249 ]
p( a | m ...) = 0.378755 [ -0.421642 ]
p( y | a ...) = 0.139927 [ -0.854100 ]
p( <sp> | y ...) = 0.395912 [ -0.402402 ]
p( i | <sp> ...) = 0.126729 [ -0.897123 ]
p( <sp> | i ...) = 0.183183 [ -0.737116 ]
p( t | <sp> ...) = 0.086752 [ -1.061719 ]
p( a | t ...) = 0.018673 [ -1.728796 ]
p( k | a ...) = 0.447160 [ -0.349537 ]
p( e | k ...) = 0.876643 [ -0.057177 ]
p( <sp> | e ...) = 0.787885 [ -0.103537 ]
p( a | <sp> ...) = 0.219680 [ -0.658210 ]
p( <sp> | a ...) = 0.309232 [ -0.509716 ]
p( m | <sp> ...) = 0.055245 [ -1.257703 ]
p( e | m ...) = 0.245457 [ -0.610024 ]
p( s | e ...) = 0.056088 [ -1.251133 ]
p( s | s ...) = 0.138209 [ -0.859463 ]
p( a | s ...) = 0.111417 [ -0.953050 ]
p( g | a ...) = 0.007955 [ -2.099373 ]
p( e | g ...) = 0.441018 [ -0.355544 ]
sum logprob = -16.7346, per-symbol logprob = -0.8367, ppl = 6.8664

sentence = 'h o w <sp> w i l l <sp> y o u <sp> k n o w'
p( h | <s> ...) = 0.053926 [ -1.268202 ]
p( o | h ...) = 0.378755 [ -0.421642 ]
p( w | o ...) = 0.853912 [ -0.068587 ]
p( <sp> | w ...) = 0.846643 [ -0.072299 ]
p( w | <sp> ...) = 0.079884 [ -1.097539 ]
p( i | w ...) = 0.090108 [ -1.045236 ]
p( l | i ...) = 0.296325 [ -0.528232 ]
p( l | l ...) = 0.518626 [ -0.285146 ]
p( <sp> | l ...) = 0.789632 [ -0.102575 ]
p( y | <sp> ...) = 0.039692 [ -1.401299 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( k | <sp> ...) = 0.048362 [ -1.315498 ]
p( n | k ...) = 0.921469 [ -0.035519 ]
p( o | n ...) = 0.951986 [ -0.021369 ]
p( w | o ...) = 0.988591 [ -0.004983 ]
sum logprob = -7.9136, per-symbol logprob = -0.4655, ppl = 2.9208

sentence = 'w h a t <sp> w e r e <sp> y o u <sp> a b o u t <sp> t o <sp> t e l l <sp> m e'
p( w | <s> ...) = 0.104678 [ -0.980146 ]
p( h | w ...) = 0.529405 [ -0.276212 ]
p( a | h ...) = 0.520798 [ -0.283331 ]
p( t | a ...) = 0.999087 [ -0.000397 ]
p( <sp> | t ...) = 0.825693 [ -0.083182 ]
p( w | <sp> ...) = 0.110151 [ -0.958010 ]
p( e | w ...) = 0.155603 [ -0.807983 ]
p( r | e ...) = 0.117660 [ -0.929370 ]
p( e | r ...) = 0.996844 [ -0.001373 ]
p( <sp> | e ...) = 0.915689 [ -0.038252 ]
p( y | <sp> ...) = 0.096567 [ -1.015170 ]
p( o | y ...) = 0.979976 [ -0.008784 ]
p( u | o ...) = 0.999585 [ -0.000180 ]
p( <sp> | u ...) = 0.831018 [ -0.080390 ]
p( a | <sp> ...) = 0.085143 [ -1.069849 ]
p( b | a ...) = 0.032717 [ -1.485226 ]
p( o | b ...) = 0.824427 [ -0.083848 ]
p( u | o ...) = 0.945105 [ -0.024520 ]
p( t | u ...) = 0.999097 [ -0.000392 ]
p( <sp> | t ...) = 0.916022 [ -0.038094 ]
p( t | <sp> ...) = 0.316343 [ -0.499842 ]
p( o | t ...) = 0.107066 [ -0.970349 ]
p( <sp> | o ...) = 0.834528 [ -0.078559 ]
p( t | <sp> ...) = 0.121941 [ -0.913852 ]
p( e | t ...) = 0.030322 [ -1.518239 ]
p( l | e ...) = 0.083349 [ -1.079098 ]
p( l | l ...) = 0.493456 [ -0.306752 ]
p( <sp> | l ...) = 0.406631 [ -0.390799 ]
p( m | <sp> ...) = 0.194573 [ -0.710917 ]
p( e | m ...) = 0.274251 [ -0.561852 ]
sum logprob = -15.1950, per-symbol logprob = -0.5065, ppl = 3.2100

sentence = 'm a y b e <sp> m a y b e <sp> n o t'
p( m | <s> ...) = 0.027086 [ -1.567249 ]
p( a | m ...) = 0.378755 [ -0.421642 ]
p( y | a ...) = 0.139927 [ -0.854100 ]
p( b | y ...) = 0.079474 [ -1.099773 ]
p( e | b ...) = 0.287583 [ -0.541237 ]
p( <sp> | e ...) = 0.434447 [ -0.362063 ]
p( m | <sp> ...) = 0.041562 [ -1.381301 ]
p( a | m ...) = 0.206267 [ -0.685571 ]
p( y | a ...) = 0.113516 [ -0.944942 ]
p( b | y ...) = 0.079474 [ -1.099773 ]
p( e | b ...) = 0.287583 [ -0.541237 ]
p( <sp> | e ...) = 0.434447 [ -0.362063 ]
p( n | <sp> ...) = 0.029831 [ -1.525329 ]
p( o | n ...) = 0.471164 [ -0.326828 ]
p( t | o ...) = 0.576231 [ -0.239404 ]
sum logprob = -11.9525, per-symbol logprob = -0.7968, ppl = 6.2637

sentence = 'p u t <sp> t h a t <sp> d o w n'
p( p | <s> ...) = 0.017195 [ -1.764598 ]
p( u | p ...) = 0.034431 [ -1.463047 ]
p( t | u ...) = 0.480349 [ -0.318443 ]
p( <sp> | t ...) = 0.615066 [ -0.211078 ]
p( t | <sp> ...) = 0.220050 [ -0.657478 ]
p( h | t ...) = 0.865381 [ -0.062793 ]
p( a | h ...) = 0.153337 [ -0.814353 ]
p( t | a ...) = 0.853140 [ -0.068980 ]
p( <sp> | t ...) = 0.728810 [ -0.137386 ]
p( d | <sp> ...) = 0.034126 [ -1.466915 ]
p( o | d ...) = 0.403233 [ -0.394444 ]
p( w | o ...) = 0.047181 [ -1.326229 ]
p( n | w ...) = 0.109551 [ -0.960385 ]
sum logprob = -9.6461, per-symbol logprob = -0.7420, ppl = 5.5209

sentence = 'w h e n <sp> i <sp> g e t <sp> d o n e'
p( w | <s> ...) = 0.104678 [ -0.980146 ]
p( h | w ...) = 0.529405 [ -0.276212 ]
p( e | h ...) = 0.176292 [ -0.753768 ]
p( n | e ...) = 0.013434 [ -1.871800 ]
p( <sp> | n ...) = 0.279815 [ -0.553128 ]
p( i | <sp> ...) = 0.103982 [ -0.983043 ]
p( <sp> | i ...) = 0.244699 [ -0.611368 ]
p( g | <sp> ...) = 0.041231 [ -1.384781 ]
p( e | g ...) = 0.219167 [ -0.659225 ]
p( t | e ...) = 0.824427 [ -0.083848 ]
p( <sp> | t ...) = 0.354282 [ -0.450650 ]
p( d | <sp> ...) = 0.035858 [ -1.445414 ]
p( o | d ...) = 0.551909 [ -0.258132 ]
p( n | o ...) = 0.287153 [ -0.541887 ]
p( e | n ...) = 0.141076 [ -0.850546 ]
sum logprob = -11.7039, per-symbol logprob = -0.7803, ppl = 6.0292

sentence = 'm a y <sp> i <sp> i n t e r r u p t <sp> y o u'
p( m | <s> ...) = 0.027086 [ -1.567249 ]
p( a | m ...) = 0.378755 [ -0.421642 ]
p( y | a ...) = 0.139927 [ -0.854100 ]
p( <sp> | y ...) = 0.395912 [ -0.402402 ]
p( i | <sp> ...) = 0.126729 [ -0.897123 ]
p( <sp> | i ...) = 0.183183 [ -0.737116 ]
p( i | <sp> ...) = 0.005857 [ -2.232321 ]
p( n | i ...) = 0.213983 [ -0.669620 ]
p( t | n ...) = 0.157101 [ -0.803822 ]
p( e | t ...) = 0.113375 [ -0.945483 ]
p( r | e ...) = 0.264709 [ -0.577231 ]
p( r | r ...) = 0.030735 [ -1.512373 ]
p( u | r ...) = 0.002842 [ -2.546316 ]
p( p | u ...) = 0.041137 [ -1.385767 ]
p( t | p ...) = 0.025283 [ -1.597176 ]
p( <sp> | t ...) = 0.279815 [ -0.553128 ]
p( y | <sp> ...) = 0.041275 [ -1.384313 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
sum logprob = -19.1365, per-symbol logprob = -1.0072, ppl = 10.1668

sentence = 'i t <sp> r e a l l y <sp> h e l p s'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( t | i ...) = 0.053334 [ -1.272996 ]
p( <sp> | t ...) = 0.323596 [ -0.489997 ]
p( r | <sp> ...) = 0.017951 [ -1.745915 ]
p( e | r ...) = 0.674031 [ -0.171320 ]
p( a | e ...) = 0.108076 [ -0.966271 ]
p( l | a ...) = 0.106283 [ -0.973538 ]
p( l | l ...) = 0.427329 [ -0.369237 ]
p( y | l ...) = 0.376771 [ -0.423922 ]
p( <sp> | y ...) = 0.800571 [ -0.096600 ]
p( h | <sp> ...) = 0.048949 [ -1.310255 ]
p( e | h ...) = 0.211302 [ -0.675097 ]
p( l | e ...) = 0.187166 [ -0.727774 ]
p( p | l ...) = 0.853140 [ -0.068980 ]
p( s | p ...) = 0.019980 [ -1.699398 ]
sum logprob = -11.6214, per-symbol logprob = -0.7748, ppl = 5.9533

sentence = 'd o <sp> y o u <sp> w a n t <sp> t h a t'
p( d | <s> ...) = 0.033333 [ -1.477122 ]
p( o | d ...) = 0.617095 [ -0.209648 ]
p( <sp> | o ...) = 0.323596 [ -0.489997 ]
p( y | <sp> ...) = 0.067834 [ -1.168554 ]
p( o | y ...) = 0.895683 [ -0.047846 ]
p( u | o ...) = 0.996567 [ -0.001493 ]
p( <sp> | u ...) = 0.636624 [ -0.196117 ]
p( w | <sp> ...) = 0.092868 [ -1.032133 ]
p( a | w ...) = 0.204509 [ -0.689287 ]
p( n | a ...) = 0.214984 [ -0.667594 ]
p( t | n ...) = 0.096328 [ -1.016246 ]
p( <sp> | t ...) = 0.362553 [ -0.440629 ]
p( t | <sp> ...) = 0.166716 [ -0.778023 ]
p( h | t ...) = 0.583673 [ -0.233830 ]
p( a | h ...) = 0.166262 [ -0.779206 ]
p( t | a ...) = 0.853140 [ -0.068980 ]
sum logprob = -9.2967, per-symbol logprob = -0.5810, ppl = 3.8110

sentence = 'i <sp> r e a l l y <sp> l i k e <sp> i t'
p( i | <s> ...) = 0.234358 [ -0.630121 ]
p( <sp> | i ...) = 0.507148 [ -0.294865 ]
p( r | <sp> ...) = 0.024941 [ -1.603091 ]
p( e | r ...) = 0.632931 [ -0.198644 ]
p( a | e ...) = 0.106283 [ -0.973538 ]
p( l | a ...) = 0.106283 [ -0.973538 ]
p( l | l ...) = 0.427329 [ -0.369237 ]
p( y | l ...) = 0.376771 [ -0.423922 ]
p( <sp> | y ...) = 0.800571 [ -0.096600 ]
p( l | <sp> ...) = 0.030028 [ -1.522480 ]
p( i | l ...) = 0.380593 [ -0.419539 ]
p( k | i ...) = 0.465180 [ -0.332379 ]
p( e | k ...) = 0.997327 [ -0.001163 ]
p( <sp> | e ...) = 0.868158 [ -0.061401 ]
p( i | <sp> ...) = 0.096122 [ -1.017178 ]
p( t | i ...) = 0.664169 [ -0.177721 ]
sum logprob = -9.0954, per-symbol logprob = -0.5685, ppl = 3.7022

sentence = 't e l l <sp> m e <sp> a b o u t <sp> y o u r s e l f'
p( t | <s> ...) = 0.132116 [ -0.879046 ]
p( e | t ...) = 0.003932 [ -2.405411 ]
p( l | e ...) = 0.087316 [ -1.058907 ]
p( l | l ...) = 0.493456 [ -0.306752 ]
p( <sp> | l ...) = 0.406631 [ -0.390799 ]
p( m | <sp> ...) = 0.194573 [ -0.710917 ]
p( e | m ...) = 0.274251 [ -0.561852 ]
p( <sp> | e ...) = 0.347195 [ -0.459426 ]
p( a | <sp> ...) = 0.086467 [ -1.063148 ]
